Year,Position,Song Title,Artist,Loudness
1958,49,Stranger In Paradise,Four Aces,-11.781
1958,50,Here,Tony Martin,-8.141
1958,51,The Ballad Of The Green Berets,Sgt. Barry Sadler,-11.814
1958,52,Cherish,Association,-14.463
1958,53,(You're My) Soul And Inspiration,Righteous Brothers,-12.048
1958,54,Reach Out I'll Be There,Four Tops,-8.294
1958,55,96 Tears,? and The Mysterians,-5.965
1958,56,Last Train To Clarksville,Monkees,-8.464
1958,57,"Monday, Monday",Mama's and The Papa's,
1958,58,You Can't Hurry Love,Supremes,-9.263
1958,59,Poor Side Of Town,Johnny Rivers,-11.956
1958,60,California Dreamin',Mama's and The Papa's,
1958,61,Summer In The City,Lovin' Spoonful,-9.756
1958,62,Born Free,Roger Williams,-8.64
1958,63,These Boots Are Made For Walkin',Nancy Sinatra,-11.996
1958,64,What Becomes Of The Brokenhearted,Jimmy Ruffin,-4.703
1958,65,Strangers In The Night,Frank Sinatra,-8.22
1958,66,We Can Work It Out,Beatles,-8.63
1958,67,Good Lovin',Young Rascals,-13.337
1958,68,Winchester Cathedral,New Vaudeville Band,-13.909
1958,69,Hanky Panky,Tommy James and The Shondells,-6.228
1958,70,When A Man Loves A Woman,Percy Sledge,-20.41
1958,71,Paint It Black,Rolling Stones,-9.241
1958,72,My Love,Petula Clark,-6.446
1958,73,Lightnin' Strikes,Lou Christie,-7.116
1958,74,Wild Thing,Troggs,-8.575
1958,75,Kicks,Paul Revere and The Raiders,-8.185
1958,76,Sunshine Superman,Donovan,-10.762
1958,77,Sunny,Bobby Hebb,-10.955
1958,78,Paperback Writer,Beatles,-6.03
1958,79,See You In September,Happenings,-8.732
1958,80,You Keep Me Hangin' On,Supremes,-7.004
1958,81,Lil' Red Riding Hood,Sam The Sham and The Pharaohs,-10.012
1958,82,Devil With A Blue Dress On and Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,
1958,83,Good Vibrations,Beach Boys,-7.67
1958,84,A Groovy Kind Of Love,Mindbenders,-6.775
1958,85,You Don't Have To Say You Love Me,Dusty Springfield,-9.08
1958,86,Cool Jerk,Capitols,-14.524
1958,87,Born A Woman,Sandy Posey,-9.47
1958,88,Red Rubber Ball,Cyrkle,-11.702
1958,89,B-A-B-Y,Carla Thomas,-11.975
1958,90,Walk Away Renee,Left Banke,-11.75
1958,91,Daydream,Lovin' Spoonful,-11.369
1958,92,Time Won't Let Me,Outsiders,-20.396
1958,93,Hooray For Hazel,Tommy Roe,-13.236
1958,94,Sweet Pea,Tommy Roe,-12.327
1958,95,Bus Stop,Hollies,-5.591
1958,96,I'm Your Puppet,James and Bobby Purify,-8.378
1958,97,I'm So Lonesome I Could Cry,B.J. Thomas and The Triumphs,
1958,98,Ain't Too Proud To Beg,Temptations,-6.86
1958,99,Dirty Water,Standells,-8.579
1958,100,Elusive Butterfly,Bob Lind,-8.217
1959,1,I Am A Rock,Simon and Garfunkel,-10.309
1959,2,Crying Time,Ray Charles,-18.474
1959,3,Secret Agent Man,Johnny Rivers,-16.707
1959,4,The Sounds Of Silence,Simon and Garfunkel,-13.551
1959,5,Lady Godiva,Peter and Gordon,-9.518
1959,6,Homeward Bound,Simon and Garfunkel,-11.773
1959,7,Did You Ever Have To Make Up Your Mind?,Lovin' Spoonful,-9.064
1959,8,Barefootin',Robert Parker,-10.822
1959,9,Uptight (Everything's Alright),Stevie Wonder,-9.769
1959,10,Bang Bang,Cher,-12.789
1959,11,Sloop John B,Beach Boys,-5.423
1959,12,19th Nervous Breakdown,Rolling Stones,-7.154
1959,13,Wipe Out,Surfaris,-13.642
1959,14,Psychotic Reaction,Count Five,-6.619
1959,15,Beauty Is Only Skin Deep,Temptations,-15.505
1959,16,No Matter What Shape (Your Stomach Is In),T-Bones,
1959,17,Just Like Me,Paul Revere and The Raiders,-7.706
1959,18,Love Makes The World Go Round,Deon Jackson,-14.768
1959,19,The Pied Piper,Crispian St. Peters,-8.975
1959,20,Coming On Strong,Brenda Lee,-12.889
1959,21,Somewhere My Love,Ray Conniff and The Singers,-16.096
1959,22,Almost Persuaded,David Houston,-11.897
