track_id,track_name,artist_name,album_name,release_date,release_date_precision,loudness
0IBgCsG8dRnUtveiIaoFHF,In My Bed - So So Def Mix,"Jermaine Dupri, Dru Hill",Hits,2005-10-11,day,-7.674
0IJPyHBTbGSMPDZHIMYDOF,The World Is A Ghetto,War,Anthology 1970-1974,1994-10-18,day,-12.51
0IaMMHVbpJ0LrRAeigWOXr,Again,Janet Jackson,Janet,1993-05-18,day,-9.51
0IkKz2J93C94Ei4BvDop7P,Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",Sorry For Party Rocking,2011-01-01,day,-4.21
0IpfTMKENGLJcULkMnU8Rb,Everytime You Go Away,Paul Young,Love Songs,2002,year,-11.493
0IvTGWbNnCiUi9IOF7ye3F,I Like It,"Sammie, JT Money",From The Bottom To The Top,2000-01-01,day,-8.529
0JCAezTC5IlK1a9o0YBEsD,Don't Take It Personal (Just One of Dem Days),Monica,Miss Thang,1995-07-18,day,-12.741
0JNdS1n0ifOP25XvhwAMgM,The Edge Of Glory,Lady Gaga,Born This Way,2011-01-01,day,-6.544
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,?,2018-03-16,day,-5.723
0JPtzuxDX0HOBspO2Urh5H,Time In A Bottle,Jim Croce,Photographs & Memories: His Greatest Hits,1974-09-26,day,-16.837
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,All I Want Is You,2010-11-26,day,-8.127
0JXXm3RqxU8EKzX4P8M0n3,More And More - Single Version,Captain Hollywood Project,Love Is Not Sex,1993-03-05,day,-11.855
0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,Sugarland,The Incredible Machine,2010-01-01,day,-4.764
0Jg602cHeMCnPez9baacIe,Cotton Eye Joe,Rednex,Sex & Violins,1995-04-03,day,-7.788
0JiY190vktuhSGN6aqJdrt,So What,P!nk,Funhouse (Expanded Edition),2008-10-24,day,-3.078
0JkIre0YxNmKGMU5V7ZiDx,Coward Of The County,Kenny Rogers,Kenny,1979-10-10,day,-12.843
0JtqfJOjWqqcKzUo3Bai4H,"The Long Run - Live From The Forum, Inglewood, CA, 9/12, 14, 15/2018",Eagles,Live From The Forum MMXVIII,2020-10-16,day,-7.994
0KAiuUOrLTIkzkpfpn9jb9,Drive By,Train,California 37,2012-04-17,day,-3.113
0KDc8l4VNTu6OkMYK9D7HC,Serpentine Fire,"Earth, Wind & Fire",All 'N All,1977-11-21,day,-7.333
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,24K Magic,2016-11-17,day,-4.961
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,Chicago X,1976-06-14,day,-6.784
0KQh7AuuZvpTKWhcJa8Pbr,Funkytown,Lipps Inc.,Casablanca Records Greatest Hits,1996-04-04,day,-13.987
0KhXVmAN4sqeEgsqRd39f2,You Used to Love Me,Faith Evans,Faith,1995,year,-8.195
0KhiesN7gLBPEQhKsBmrI1,Foolish Beat,Debbie Gibson,Out Of The Blue,1987,year,-11.161
0KlJjhnfwAnPacNd7EH45J,Always Something There to Remind Me,Naked Eyes,Burning Bridges,1983-03-16,day,-5.165
0KlahhzNb98zyN83Vwae0l,Untouched,The Veronicas,Hook Me Up (US Version),2007-10-30,day,-4.893
0KpMY3D2G8253VTZbDBUmA,Back Stabbers,The O'Jays,Back Stabbers,1972-01-01,day,-11.614
0LBtQiEVfP4ysLQ43Do8uN,Hands To Heaven,Breathe,All That Jazz,1988-01-01,day,-15.018
0LHzd11GIXVmND7TfQnGiy,Bennie And The Jets,Elton John,70's Pop Number 1's,2007-01-01,day,-7.465
0LohatbcUXRauoeMlR1jnS,Pound The Alarm,Nicki Minaj,Pink Friday ... Roman Reloaded,2011-01-01,day,-3.686
0M4MjFojJ7MlyYWtkTOYTn,Legs,ZZ Top,Saturday Night Rock,2021-01-29,day,-13.916
0MHeOVBIRkg9mD29VMTkET,What About Me,Moving Pictures,Days of Innocence,1981,year,-11.58
0MrD47wtvAu6igsy8vqUzN,Uhh Ahh,Boyz II Men,Cooleyhighharmony - Expanded Edition,2009-01-01,day,-8.236
0N3qcAXZM06zaTKm7JCtIh,Midnight Blue,Melissa Manchester,Melissa,1975,year,-12.145
0NCxcWPutukODIxeSi6bho,Don't Stand So Close To Me,The Police,The Very Best Of Sting And The Police,2002-01-01,day,-8.66
0NFMOIvms3oKXx7s1XM583,The First Time,Surface,The Best Of Surface...A Nice Time 4 Lovin,1986,year,-11.148
0NJC0FDCODpPUntRTTQq97,Cryin',Aerosmith,Get A Grip,1993-01-01,day,-3.674
0NSSqYISjnav81CEn6EgBY,Come Back To Me,Janet Jackson,Rhythm Nation 1814,1989-09-19,day,-12.346
0NdEFLohwfZpyncrBCq1ZY,I Do!!,Toya,Toya,2001-07-09,day,-7.83
0Nu9WA8kEbBWEsay2s8Q0U,Even If It Breaks Your Heart,Eli Young Band,Life At Best,2011-01-01,day,-4.742
0O45fw2L5vsWpdsOdXwNAR,SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,2006-09-12,day,-5.562
0OMmiWMwsCNtpQ5aP6fdp9,These Are The Times,Dru Hill,Enter The Dru,1998-01-01,day,-9.278
0OWZFobGSIW9GrSlQ9C5pc,Marry Me,Thomas Rhett,Life Changes,2017-09-08,day,-8.633
0OYcEfskah1egYHjYRvbg1,Shadow of the Day,Linkin Park,Minutes to Midnight,2007-05-14,day,-7.813
0Oe49j06Bjrxs8PltuVeaW,On The Floor - Radio Edit,"Pitbull, Jennifer Lopez",On The Floor,2011-01-01,day,-6.346
0OsWMTxDjtpmJjX43113oq,The Reflex,Duran Duran,Greatest,1998-11-09,day,-6.11
0P6fEgTn3cxLLyYTJYoYGj,Shambala - Single Version,Three Dog Night,Cyan,1973,year,-11.464
0PAGmTNpVASXq2tegMxSOs,Move This (Shake That Body),Technotronic,Let's Go To Prison (Music From The Motion Picture),2010-07-27,day,-4.047
0PG9fbaaHFHfre2gUVo7AN,Please Me,"Cardi B, Bruno Mars",Please Me,2019-02-15,day,-6.711
0PJIbOdMs3bd5AT8liULMQ,oui,Jeremih,Late Nights: The Album,2015-12-04,day,-3.724
0PKTBeN87JYJ1mRzrq5Aog,Place In This World,Michael W. Smith,Go West Young Man,1990,year,-8.319
0PQoUlzP7ILdcrzpajHXc0,Worth It,YK Osiris,The Golden Child,2019-10-11,day,-4.054
0PT7nlpo11hYYyfnBgtilT,Nasty Freestyle,T-Wayne,Nasty Freestyle,2015-05-04,day,-7.116
0PVgef4kvggErf7OS2oktc,Native New Yorker,Odyssey,Odyssey (Expanded Edition),1977,year,-6.662
0PbAyLrJRDxckQBLQ2Addc,Sowing The Seeds Of Love,Tears For Fears,The Seeds Of Love,1989-09-25,day,-7.241
0Ph6L4l8dYUuXFmb71Ajnd,Livin' la Vida Loca,Ricky Martin,Ricky Martin,1999,year,-3.756
0PhU6i6Kei6x0CH3jocvA3,Freedom,Wham!,Make It Big,1984-10-23,day,-12.882
0PsbWiVtix5FoTZ1s00mEl,Come Sail Away,Styx,The Grand Illusion,1977-01-01,day,-15.595
0Pu71wxadDlB8fJXfjIjeJ,Shoop,Salt-N-Pepa,Very Necessary,1993-10-12,day,-7.232
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),"DaBaby, Lil Baby, Pop Smoke",Shoot For The Stars Aim For The Moon,2020-07-03,day,-6.606
0Q7aj2T90BmSCv2fLyUkTJ,"Dancing In the Sheets - From ""Footloose"" Soundtrack",Shalamar,Footloose (15th Anniversary Collectors' Edition),1984,year,-9.322
0QIjsbm2fh1cJ45XO9eGqq,Wake Up in the Sky,"Bruno Mars, Gucci Mane, Kodak Black",Wake Up in the Sky,2018-09-14,day,-5.144
0QKfiqpEU4h9ycPSzIFwYe,Maniac,Michael Sembello,Flashdance (Original Soundtrack From The Motion Picture),1983-04-11,day,-11.516
0QUpBXTOdB4JJyTGFN6dH1,Jungle Love,The Time,Ice Cream Castle,1984-07-03,day,-13.466
0QeI79sp1vS8L3JgpEO7mD,Let's Go Crazy,Prince,Purple Rain,1984-06-25,day,-6.399
0Qh38w01QRXK6KHIv0e3hb,What About Us,P!nk,Beautiful Trauma,2017-10-13,day,-6.177
0QjPiq9Wka9I1b4uzWETYI,If I Can't Have You,Yvonne Elliman,The Best Of Yvonne Elliman,1997-01-01,day,-10.773
0QnONzv3TvHAWk294h6DaQ,Last Kiss,Pearl Jam,Last Kiss,1999,year,-6.97
0QpZ69CTjRbJ3ZVsnTaGfa,Sexy Eyes,Dr. Hook,Greatest Hits,2007-01-01,day,-9.751
0R03f3Axt495bkgGhivLEe,What Goes Around...Comes Around - Radio Edit,Justin Timberlake,What Goes Around...Comes Around,2006-12-19,day,-5.155
0R8Danl4L4Tq00OiYFygSM,Without You,Mötley Crüe,Dr. Feelgood,1989,year,-3.931
0ROwoz82DIW4tOzkxYnSjf,Stuck On You,Lionel Richie,Can't Slow Down,1983-01-01,day,-15.462
0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,Bruno Mars,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),2011-11-04,day,-6.826
0Ryd8975WihbObpp5cPW1t,boyfriend (with Social House),"Ariana Grande, Social House",boyfriend,2019-08-02,day,-3.731
0RzhMHIsFMbOGh0oWDvNNK,Waterloo,ABBA,Waterloo,1974-01-01,day,-4.736
0S8xKy1efKy3LvR53qe3Cq,Anytime You Need a Friend,Mariah Carey,Music Box,1993-08-04,day,-7.956
